Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,TStart in °C,TEnd in °C,Tm in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Peak Signal Characterisation_Quasibimodal,Aging Level
1-UV-PE-3_4,UV-PE-74,1.51,116.4,1st Heating,57.9,121.31,110.3,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_5,UV-PE-75,1.21,113.9,1st Heating,57.9,121.457,108.9,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_1,UV-PE-76,1.43,118.39,1st Heating,56.497,119.98,110.3,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_2,UV-PE-77,1.25,114.4,1st Heating,57.37,119.46,110.4,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_3,UV-PE-78,1.31,116.1,1st Heating,56.1,119.06,110.0,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_4,UV-PE-79,1.5,113.4,1st Heating,56.1,121.13,110.5,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_5,UV-PE-80,1.44,118.0,1st Heating,55.91,120.53,110.1,0,x,0,l,0.0,x,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_1,UV-PET-1,1.38,36.99,1st Heating,207.9,256.3,244.4,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_2,UV-PET-2,1.32,36.01,1st Heating,208.6,257.7,245.2,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_3,UV-PET-3,1.56,37.04,1st Heating,204.9,256.5,244.7,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_4,UV-PET-4,1.41,38.46,1st Heating,201.9,256.5,244.7,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_5,UV-PET-5,1.31,37.15,1st Heating,201.7,255.1,244.1,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_1,UV-PET-6,1.22,35.93,1st Heating,215.8,255.0,244.2,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_2,UV-PET-7,1.17,37.09,1st Heating,209.8,258.5,244.6,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_3,UV-PET-8,1.34,35.51,1st Heating,209.7,259.9,244.1,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_4,UV-PET-9,1.26,37.36,1st Heating,207.5,256.0,244.9,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_5,UV-PET-79,1.19,36.86,1st Heating,209.94,255.3,243.7,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_1,UV-PET-11,1.38,35.75,1st Heating,217.1,257.6,244.0,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_2,UV-PET-12,1.51,35.28,1st Heating,215.5,259.6,243.2,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_3,UV-PET-13,1.53,36.0,1st Heating,217.1,256.5,244.2,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_4,UV-PET-14,1.38,35.72,1st Heating,215.9,257.0,244.2,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_5,UV-PET-15,1.31,34.81,1st Heating,217.3,256.3,244.8,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_1,UV-PET-16,1.21,37.11,1st Heating,207.6,257.0,243.6,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_2,UV-PET-17,1.18,36.78,1st Heating,210.1,255.4,244.2,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_3,UV-PET-19,1.11,36.76,1st Heating,209.5,257.1,243.7,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_4,UV-PET-20,1.4,36.66,1st Heating,214.8,257.8,244.2,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_5,UV-PET-78,1.13,35.18,1st Heating,209.9,257.39,242.9,0,0,x,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
2-UV-PE-1_1,UV-PE-21,1.2,114.3,1st Heating,58.0,120.91,110.6,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_2,UV-PE-22,1.42,113.6,1st Heating,58.0,119.35,110.9,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_3,UV-PE-23,1.35,113.5,1st Heating,58.0,120.3,111.0,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_4,UV-PE-24,1.27,111.9,1st Heating,58.0,121.79,110.8,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_5,UV-PE-25,1.5,114.5,1st Heating,58.0,120.81,110.6,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_1,UV-PE-26,1.11,112.7,1st Heating,58.0,117.5,110.4,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_2,UV-PE-27,1.27,111.9,1st Heating,58.0,119.74,110.3,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_3,UV-PE-28,1.44,113.5,1st Heating,58.0,120.37,110.8,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_4,UV-PE-29,1.34,112.6,1st Heating,58.0,120.55,111.0,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_5,UV-PE-30,1.49,113.6,1st Heating,58.0,119.82,110.6,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_1,UV-PE-31,1.12,113.2,1st Heating,58.0,118.06,110.2,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_2,UV-PE-32,1.46,110.5,1st Heating,58.0,120.44,110.6,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_3,UV-PE-33,1.46,111.9,1st Heating,58.07,120.92,110.6,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_4,UV-PE-34,1.16,114.4,1st Heating,58.0,118.71,110.7,0,x,0,l,0.0,x,0.0,0,0,Second UV-cycle (8 weeks irradiation)
