Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tc in °C,∆Hc in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tc,2 in °C"
3-EBT-PE-1_σ in %,6.245092312749588,1.6095075725767543,1.036297309396882,0.4173654235497798,0.9740780907809068,,,,,,,,,1st Cooling,
3-EBT-PE-2_1,1.47,39.4,96.4,79.1,-84.66,,,x,l,,,,,1st Cooling,
3-EBT-PE-2_2,1.25,39.4,96.29,79.2,-84.93,,,x,l,,,,,1st Cooling,
3-EBT-PE-2_3,1.28,39.26,95.92,79.6,-86.44,,,x,l,,,,,1st Cooling,
3-EBT-PE-2_4,1.43,39.4,96.14,79.7,-85.93,,,x,l,,,,,1st Cooling,
3-EBT-PE-2_5,1.5,39.4,96.4,79.7,-83.76,,,x,l,,,,,1st Cooling,
3-EBT-PE-3_1,1.18,39.6,97.42,79,-83.96,,,x,l,,,,,1st Cooling,
3-EBT-PE-3_2,1.29,39.6,97.1,78,-83.45,,,x,l,,,,,1st Cooling,
3-EBT-PE-3_3,1.44,38.3,97.29,78.4,-84.11,,,x,l,,,,,1st Cooling,
3-EBT-PE-3_4,1.34,39.6,97.38,78.6,-86.24,,,x,l,,,,,1st Cooling,
3-EBT-PE-3_5,1.37,39.6,96.6,79.6,-83.7,,,x,l,,,,,1st Cooling,
3-EBT-PE-4_1,1.34,40.4,98.33,79,-83.58,,,x,l,,,,,1st Cooling,
3-EBT-PE-4_2,1.38,39.33,97.91,79.3,-84.06,,,x,l,,,,,1st Cooling,
3-EBT-PE-4_3,1.35,39.1,98.1,78.4,-81.8,,,x,l,,,,,1st Cooling,
3-EBT-PE-4_4,1.36,40.4,97.22,79.2,-85.41,,,x,l,,,,,1st Cooling,
3-EBT-PE-4_5,1.34,39.5,96.5,78.6,-84.02,,,x,l,,,,,1st Cooling,
0-PET-1_1,1.44,143.44,191.26,172.2,-30.29,,,x,,,,,,1st Cooling,
0-PET-1_2,1.35,142.69,191.72,173.8,-31.18,,,x,,,,,,1st Cooling,
0-PET-1_3,1.39,142.78,191.41,172.6,-31.85,,,x,,,,,,1st Cooling,
0-PET-1_4,1.28,142.83,191.5,172.3,-31.14,,,x,,,,,,1st Cooling,
0-PET-1_5,1.34,143.02,191.07,172.4,-31.8,,,x,,,,,,1st Cooling,
0-PET-2_1,1.42,145.4,191,173,-31.22,,,x,,,,,,1st Cooling,
0-PET-2_2,1.08,144.26,191.83,169.2,-30.22,,,x,,,,,,1st Cooling,
