Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,TStart in °C,TEnd in °C,Tm in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Peak Signal Characterisation_Quasibimodal,Aging Level
1-UV-PE-3_1,UV-PE-71,1.37,109.0,2nd Heating,59.2,119.09,107.9,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_2,UV-PE-72,1.5,108.7,2nd Heating,59.0,119.858,107.9,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_3,UV-PE-73,1.44,106.5,2nd Heating,59.2,119.54,108.0,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_4,UV-PE-74,1.51,107.6,2nd Heating,59.2,118.61,107.9,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_5,UV-PE-75,1.21,108.0,2nd Heating,59.43,119.08,107.4,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_1,UV-PE-76,1.43,106.36,2nd Heating,60.7,120.33,107.8,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_2,UV-PE-77,1.25,104.7,2nd Heating,59.0,119.18,107.5,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_3,UV-PE-78,1.31,105.5,2nd Heating,59.3,118.32,107.7,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_4,UV-PE-79,1.5,104.5,2nd Heating,60.7,118.66,107.8,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_5,UV-PE-80,1.44,105.3,2nd Heating,61.6,118.3,107.8,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_1,UV-PET-1,1.38,36.85,2nd Heating,207.3,256.3,235.3,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_2,UV-PET-2,1.32,36.73,2nd Heating,207.7,257.7,235.6,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_3,UV-PET-3,1.56,38.31,2nd Heating,205.2,256.7,235.1,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_4,UV-PET-4,1.41,36.87,2nd Heating,208.8,257.1,235.2,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_5,UV-PET-5,1.31,35.91,2nd Heating,204.0,256.5,234.6,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_1,UV-PET-6,1.22,37.92,2nd Heating,205.7,258.0,235.2,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_2,UV-PET-7,1.17,36.82,2nd Heating,206.0,257.6,234.9,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_3,UV-PET-8,1.34,35.54,2nd Heating,207.1,258.8,234.9,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_4,UV-PET-9,1.26,37.34,2nd Heating,207.7,257.8,235.1,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_5,UV-PET-79,1.19,36.53,2nd Heating,209.03,258.0,234.0,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_1,UV-PET-11,1.38,37.58,2nd Heating,206.5,255.9,234.5,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_2,UV-PET-12,1.51,38.44,2nd Heating,205.7,257.9,235.1,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_3,UV-PET-13,1.53,38.25,2nd Heating,209.1,257.5,234.4,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_4,UV-PET-14,1.38,37.15,2nd Heating,206.1,256.3,234.8,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_5,UV-PET-15,1.31,37.28,2nd Heating,207.0,257.1,234.9,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_1,UV-PET-16,1.21,37.11,2nd Heating,207.8,256.6,235.3,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_2,UV-PET-17,1.18,35.93,2nd Heating,207.6,255.9,234.3,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_3,UV-PET-19,1.11,36.49,2nd Heating,207.9,256.1,234.2,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_4,UV-PET-20,1.4,38.49,2nd Heating,206.4,256.3,234.2,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_5,UV-PET-78,1.13,35.32,2nd Heating,205.6,257.4,232.9,x,0,0,s,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
2-UV-PE-1_1,UV-PE-21,1.2,113.7,2nd Heating,50.7,116.46,107.8,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_2,UV-PE-22,1.42,114.4,2nd Heating,50.7,118.58,108.1,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_3,UV-PE-23,1.35,112.8,2nd Heating,50.7,118.63,108.3,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_4,UV-PE-24,1.27,112.4,2nd Heating,50.7,119.3,108.2,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_5,UV-PE-25,1.5,113.9,2nd Heating,50.7,118.36,108.0,0,x,0,l,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
