Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
1-EBT-PET-2_3,eb-PET-74,1.18,33.65,2nd Heating,PET,204.22,253.58,232.2,232,6.1131,bimodal,left,undefined,First EBT
1-EBT-PET-2_4,eb-PET-75,1.29,34.67,2nd Heating,PET,203.7,254.75,232.8,233,5.70848,bimodal,left,undefined,First EBT
1-EBT-PET-2_5,eb-PET-76,1.38,34.87,2nd Heating,PET,203.69,255.73,231.7,232,5.27572,bimodal,left,undefined,First EBT
1-EBT-PET-3_1,eb-PET-77,1.08,33.89,2nd Heating,PET,202.0,254.2,232.0,232,5.74776,bimodal,left,undefined,First EBT
1-EBT-PET-3_2,eb-PET-78,1.28,33.58,2nd Heating,PET,202.2,254.06,232.2,232,5.81092,bimodal,left,undefined,First EBT
1-EBT-PET-3_3,eb-PET-79,1.19,34.67,2nd Heating,PET,203.8,253.81,233.5,234,5.86951,bimodal,left,undefined,First EBT
1-EBT-PET-3_4,eb-PET-80,1.23,35.54,2nd Heating,PET,203.71,254.2,232.3,232,5.74315,bimodal,left,undefined,First EBT
1-EBT-PET-3_5,eb-PET-81,1.49,33.75,2nd Heating,PET,204.47,255.06,230.4,230,6.05885,bimodal,left,undefined,First EBT
1-EBT-PET-4_1,eb-PET-16,1.08,34.27,2nd Heating,PET,206.5,253.35,232.0,232,8.51976,bimodal,left,undefined,First EBT
1-EBT-PET-4_2,eb-PET-17,1.21,35.47,2nd Heating,PET,204.63,254.02,232.7,233,7.55372,bimodal,left,undefined,First EBT
1-EBT-PET-4_3,eb-PET-18,1.07,34.0,2nd Heating,PET,205.95,252.88,233.7,234,8.81528,bimodal,left,undefined,First EBT
1-EBT-PET-4_4,eb-PET-19,1.35,33.82,2nd Heating,PET,205.91,252.34,232.3,232,7.04022,bimodal,left,undefined,First EBT
1-EBT-PET-4_5,eb-PET-20,1.49,35.52,2nd Heating,PET,205.897,255.59,234.2,234,6.49225,bimodal,left,undefined,First EBT
1-EBT-PET-1_1,eb-PET-61,1.24,33.08,2nd Heating,PET,202.12,254.05,230.2,230,5.33303,bimodal,left,undefined,Second EBT
1-EBT-PET-1_2,eb-PET-22,1.31,33.94,2nd Heating,PET,202.2,255.8,230.6,231,6.57341,bimodal,left,undefined,Second EBT
1-EBT-PET-1_3,eb-PET-23,1.16,35.2,2nd Heating,PET,202.01,253.44,231.6,232,6.78243,bimodal,left,undefined,Second EBT
1-EBT-PET-1_4,eb-PET-24,1.36,32.65,2nd Heating,PET,203.46,256.2,229.7,230,7.92579,bimodal,left,undefined,Second EBT
1-EBT-PET-1_5,eb-PET-25,1.38,37.31,2nd Heating,PET,203.56,255.99,232.3,232,7.33846,bimodal,left,undefined,Second EBT
1-EBT-PET-2_1,eb-PET-26,1.3,34.07,2nd Heating,PET,203.63,253.48,230.8,231,6.75318,bimodal,left,undefined,Second EBT
1-EBT-PET-2_2,eb-PET-27,1.46,34.92,2nd Heating,PET,203.37,251.68,231.5,232,6.85435,bimodal,left,undefined,Second EBT
1-EBT-PET-2_3,eb-PET-28,1.18,33.65,2nd Heating,PET,204.22,253.58,232.2,232,7.54161,bimodal,left,undefined,Second EBT
1-EBT-PET-2_4,eb-PET-29,1.29,34.67,2nd Heating,PET,203.7,254.75,232.8,233,7.03934,bimodal,left,undefined,Second EBT
1-EBT-PET-2_5,eb-PET-30,1.38,34.87,2nd Heating,PET,203.69,255.73,231.7,232,7.1402,bimodal,left,undefined,Second EBT
1-EBT-PET-3_1,eb-PET-31,1.08,33.89,2nd Heating,PET,202.0,254.2,232.0,232,6.88066,bimodal,left,undefined,Second EBT
1-EBT-PET-3_2,eb-PET-32,1.28,33.58,2nd Heating,PET,202.2,254.06,232.2,232,6.50274,bimodal,left,undefined,Second EBT
1-EBT-PET-3_3,eb-PET-33,1.19,34.67,2nd Heating,PET,203.8,253.81,233.5,234,6.58304,bimodal,left,undefined,Second EBT
1-EBT-PET-3_4,eb-PET-34,1.23,35.54,2nd Heating,PET,203.71,254.2,232.3,232,8.02886,bimodal,left,undefined,Second EBT
1-EBT-PET-3_5,eb-PET-35,1.49,33.75,2nd Heating,PET,204.47,255.06,230.4,230,7.63349,bimodal,left,undefined,Second EBT
1-EBT-PET-4_1,eb-PET-36,1.08,34.27,2nd Heating,PET,206.5,253.35,232.0,232,7.0644,bimodal,left,undefined,Second EBT
1-EBT-PET-4_2,eb-PET-37,1.21,35.47,2nd Heating,PET,204.63,254.02,232.7,233,6.59189,bimodal,left,undefined,Second EBT
1-EBT-PET-4_3,eb-PET-38,1.07,34.0,2nd Heating,PET,205.95,252.88,233.7,234,6.88759,bimodal,left,undefined,Second EBT
1-EBT-PET-4_4,eb-PET-39,1.35,33.82,2nd Heating,PET,205.91,252.34,232.3,232,6.73544,bimodal,left,undefined,Second EBT
1-EBT-PET-4_5,eb-PET-40,1.49,35.52,2nd Heating,PET,205.897,255.59,234.2,234,6.4445,bimodal,left,undefined,Second EBT
3-EBT-PET-1_1,eb-PET-41,1.41,36.89,2nd Heating,PET,203.42,254.05,240.2,240,6.46668,wide,left,undefined,Third EBT
3-EBT-PET-1_2,eb-PET-42,1.16,37.93,2nd Heating,PET,203.3,255.886,239.5,240,7.74623,wide,left,undefined,Third EBT
3-EBT-PET-1_4,eb-PET-44,1.3,37.4,2nd Heating,PET,206.43,252.99,239.7,240,7.00807,wide,left,undefined,Third EBT
3-EBT-PET-1_5,eb-PET-45,1.21,36.56,2nd Heating,PET,205.65,255.43,241.2,241,7.63119,wide,left,undefined,Third EBT
3-EBT-PET-2_1,eb-PET-46,1.38,36.92,2nd Heating,PET,204.58,256.23,240.7,241,7.2656,wide,left,undefined,Third EBT
3-EBT-PET-2_2,eb-PET-47,1.26,35.36,2nd Heating,PET,204.42,255.39,240.5,240,7.93443,wide,left,undefined,Third EBT
3-EBT-PET-2_3,eb-PET-48,1.41,37.2,2nd Heating,PET,204.8,251.69,241.2,241,7.31001,wide,left,undefined,Third EBT
3-EBT-PET-2_4,eb-PET-49,1.45,37.01,2nd Heating,PET,203.83,254.45,241.4,241,6.66359,wide,left,undefined,Third EBT
3-EBT-PET-2_5,eb-PET-50,1.34,36.71,2nd Heating,PET,205.91,252.51,241.0,241,7.31756,wide,left,undefined,Third EBT
3-EBT-PET-3_1,eb-PET-51,1.25,35.14,2nd Heating,PET,204.73,251.67,239.9,240,7.82754,wide,left,undefined,Third EBT
3-EBT-PET-3_2,eb-PET-52,1.5,35.51,2nd Heating,PET,206.78,253.53,241.2,241,6.76289,quasi,left,undefined,Third EBT
3-EBT-PET-3_3,eb-PET-53,1.49,37.09,2nd Heating,PET,205.21,250.62,240.6,241,6.44274,wide,left,undefined,Third EBT
3-EBT-PET-3_4,eb-PET-54,1.26,34.31,2nd Heating,PET,205.41,251.9,240.8,241,7.50793,quasi,left,undefined,Third EBT
3-EBT-PET-3_5,eb-PET-55,1.23,40.51,2nd Heating,PET,206.0,252.0,239.9,240,8.08802,wide,left,undefined,Third EBT
3-EBT-PET-4_1,eb-PET-62,1.18,36.62,2nd Heating,PET,205.46,254.29,239.9,240,6.79035,wide,left,undefined,Third EBT
3-EBT-PET-4_2,eb-PET-63,1.27,36.95,2nd Heating,PET,201.99,251.99,239.9,240,6.0888,wide,left,undefined,Third EBT
3-EBT-PET-4_3,eb-PET-64,1.3,36.87,2nd Heating,PET,202.37,251.33,240.0,240,6.31048,wide,left,undefined,Third EBT
3-EBT-PET-4_4,eb-PET-65,1.21,36.3,2nd Heating,PET,198.86,256.1,239.3,239,6.60616,wide,left,undefined,Third EBT
3-EBT-PET-4_5,eb-PET-66,1.15,37.02,2nd Heating,PET,201.98,250.86,240.2,240,6.85982,wide,left,undefined,Third EBT
