Sample Name,Name of Original DSC Measurement,Aging Level
3-UV-PET-2_5,UV-PET-50,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_1,UV-PET-51,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_2,UV-PET-52,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_3,UV-PET-53,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_4,UV-PET-54,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_5,UV-PET-55,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_1,UV-PET-56,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_2,UV-PET-57,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_3,UV-PET-58,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_4,UV-PET-59,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_5,UV-PET-60,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-1_1,UV-PET-61,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-1_2,UV-PET-62,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-1_3,UV-PET-63,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-1_4,UV-PET-64,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-1_5,UV-PET-65,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-2_1,UV-PET-66,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-2_2,UV-PET-67,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-2_3,UV-PET-68,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-2_4,UV-PET-69,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-2_5,UV-PET-70,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-3_1,UV-PET-71,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-3_2,UV-PET-72,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-3_3,UV-PET-73,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-3_4,UV-PET-74,Third UV-cycle (12 weks irradiation)
3-UV-PET-control-3_5,UV-PET-75,Third UV-cycle (12 weks irradiation)
1-EBT-PE-1_1,eb-PE-1,First EBT
