Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hc in Jg-1,Segment,TStart in °C,TEnd in °C,Tc in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Aging Level
1-UV-PET-4_1,UV-PET-16,1.21,-41.4,1st Cooling,160.0,205.69,194.8,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_2,UV-PET-17,1.18,-40.28,1st Cooling,159.2,204.0,194.2,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_3,UV-PET-19,1.11,-40.76,1st Cooling,158.3,204.9,194.6,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_4,UV-PET-20,1.4,-41.76,1st Cooling,159.4,205.4,194.0,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-4_5,UV-PET-78,1.13,-39.31,1st Cooling,159.43,206.3,191.5,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
2-UV-PE-1_1,UV-PE-21,1.2,-118.5,1st Cooling,36.4,99.7,94.0,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_2,UV-PE-22,1.42,-119.9,1st Cooling,36.0,99.2,94.1,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_3,UV-PE-23,1.35,-116.5,1st Cooling,41.3,98.82,93.9,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_4,UV-PE-24,1.27,-117.3,1st Cooling,36.0,99.72,93.8,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_5,UV-PE-25,1.5,-119.8,1st Cooling,36.0,99.64,94.1,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_1,UV-PE-26,1.11,-118.7,1st Cooling,36.0,99.78,94.0,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_2,UV-PE-27,1.27,-117.3,1st Cooling,36.0,99.85,93.9,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_3,UV-PE-28,1.44,-118.4,1st Cooling,36.0,99.7,94.1,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
