Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
2-UV-PET-2_4,UV-PET-29,1.24,34.94,2nd Heating,PET,206.3,257.1,233.7,234,2.51843,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_5,UV-PET-30,1.29,34.95,2nd Heating,PET,206.3,256.7,234.0,234,2.77379,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_1,UV-PET-31,1.42,35.6,2nd Heating,PET,205.7,255.26,234.3,234,2.56213,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_2,UV-PET-32,1.26,35.02,2nd Heating,PET,205.7,254.86,233.8,234,2.86091,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_3,UV-PET-33,1.28,34.56,2nd Heating,PET,205.7,254.66,233.5,234,2.72638,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_4,UV-PET-34,1.46,34.86,2nd Heating,PET,205.7,253.6,233.7,234,2.86634,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_5,UV-PET-35,1.12,33.59,2nd Heating,PET,205.7,254.95,233.9,234,2.90996,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_1,UV-PET-36,1.19,35.31,2nd Heating,PET,204.0,255.95,234.2,234,2.80058,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_2,UV-PET-37,1.39,36.07,2nd Heating,PET,204.0,254.92,234.2,234,2.76898,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_3,UV-PET-38,1.35,35.48,2nd Heating,PET,204.0,256.7,233.2,233,2.67289,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_4,UV-PET-76,1.45,35.78,2nd Heating,PET,204.4,255.7,232.3,232,5.61004,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_5,UV-PET-77,1.44,37.17,2nd Heating,PET,204.4,255.49,234.1,234,5.50795,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
3-UV-PE-1_1,UV-PE-41,1.48,119.8,2nd Heating,PE,50.127,119.43,107.7,108,8.10665,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_2,UV-PE-42,1.27,117.0,2nd Heating,PE,50.0,119.29,106.7,107,8.56028,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_3,UV-PE-43,1.37,118.6,2nd Heating,PE,50.0,118.87,107.6,108,8.53944,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_4,UV-PE-44,1.41,116.3,2nd Heating,PE,50.0,118.16,107.3,107,8.07744,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_5,UV-PE-45,1.47,116.8,2nd Heating,PE,50.0,118.97,107.8,108,8.6052,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_1,UV-PE-46,1.33,122.9,2nd Heating,PE,50.0,120.0,107.1,107,8.50466,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_2,UV-PE-47,1.36,120.7,2nd Heating,PE,50.785,120.23,107.9,108,8.47417,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_3,UV-PE-48,1.44,120.0,2nd Heating,PE,50.08,120.97,107.7,108,8.48813,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_4,UV-PE-49,1.37,111.6,2nd Heating,PE,50.0,122.8,106.6,107,8.08345,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_5,UV-PE-50,1.5,119.5,2nd Heating,PE,50.05,120.2,107.4,107,7.94721,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_1,UV-PE-51,1.49,117.5,2nd Heating,PE,50.0,119.89,107.8,108,8.12125,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_2,UV-PE-52,1.35,118.6,2nd Heating,PE,50.0,121.88,107.4,107,8.09591,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_3,UV-PE-53,1.3,119.8,2nd Heating,PE,50.0,120.1,107.4,107,8.86121,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_4,UV-PE-54,1.33,119.2,2nd Heating,PE,50.0,120.63,107.5,108,8.72835,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_5,UV-PE-55,1.35,120.5,2nd Heating,PE,50.0,120.71,107.8,108,8.9259,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_1,UV-PE-56,1.27,117.0,2nd Heating,PE,50.0,120.94,107.4,107,8.65794,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_2,UV-PE-57,1.32,118.3,2nd Heating,PE,50.0,123.71,106.8,107,8.59713,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_3,UV-PE-58,1.19,117.9,2nd Heating,PE,50.0,118.59,107.6,108,9.71203,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_4,UV-PE-59,1.46,121.3,2nd Heating,PE,50.0,122.52,107.9,108,8.67029,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_5,UV-PE-60,1.4,121.1,2nd Heating,PE,50.0,120.0,107.6,108,8.92145,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_1,UV-PET-41,1.34,36.22,2nd Heating,PET,207.16,255.11,234.8,235,7.23837,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_2,UV-PET-42,1.21,34.85,2nd Heating,PET,207.65,254.94,233.4,233,8.20822,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_3,UV-PET-43,1.47,35.51,2nd Heating,PET,205.53,255.47,233.1,233,6.61948,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_4,UV-PET-44,1.27,35.16,2nd Heating,PET,206.13,256.18,234.3,234,8.25137,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_5,UV-PET-45,1.27,35.75,2nd Heating,PET,205.37,255.01,232.2,232,7.83473,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_1,UV-PET-46,1.3,34.84,2nd Heating,PET,207.1,253.43,233.9,234,7.86924,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_2,UV-PET-47,1.45,35.61,2nd Heating,PET,207.3,253.66,231.7,232,7.25772,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_3,UV-PET-48,1.17,35.71,2nd Heating,PET,206.47,253.99,232.4,232,8.02778,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_4,UV-PET-49,1.27,35.01,2nd Heating,PET,205.1,253.95,232.9,233,7.8059,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_5,UV-PET-50,1.53,33.93,2nd Heating,PET,205.72,253.84,232.8,233,6.701,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_1,UV-PET-51,1.53,35.5,2nd Heating,PET,207.5,256.52,233.9,234,6.77263,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
