Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tm in °C,∆Hm in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tm,2 in °C",Peak Signal Characterisation_Quasibimodal
2-UV-PE-1_1,1.2,50.7,116.46,107.8,113.7,,x,,l,,,,,2nd Heating,,
2-UV-PE-1_2,1.42,50.7,118.58,108.1,114.4,,x,,l,,,,,2nd Heating,,
2-UV-PE-1_3,1.35,50.7,118.63,108.3,112.8,,x,,l,,,,,2nd Heating,,
2-UV-PE-1_4,1.27,50.7,119.3,108.2,112.4,,x,,l,,,,,2nd Heating,,
2-UV-PE-1_5,1.5,50.7,118.36,108,113.9,,x,,l,,,,,2nd Heating,,
2-UV-PE-2_1,1.11,50.9,115.1,107.8,111.7,,x,,l,,,,,2nd Heating,,
2-UV-PE-2_2,1.27,50,117.7,107.9,111.7,,x,,l,,,,,2nd Heating,,
2-UV-PE-2_3,1.44,50,117.8,108,113.3,,x,,l,,,,,2nd Heating,,
2-UV-PE-2_4,1.34,50,117.2,108.2,111.8,,x,,l,,,,,2nd Heating,,
2-UV-PE-2_5,1.49,50,117.2,107.9,112,,x,,l,,,,,2nd Heating,,
2-UV-PE-3_1,1.12,50.5,117.77,107.7,113.5,,x,,l,,,,,2nd Heating,,
2-UV-PE-3_2,1.46,50.58,121.75,108,110.3,,x,,l,,,,,2nd Heating,,
2-UV-PE-3_3,1.46,50.616,120.49,108.2,111.6,,x,,l,,,,,2nd Heating,,
2-UV-PE-3_4,1.16,50.75,118.69,108.1,113.7,,x,,l,,,,,2nd Heating,,
2-UV-PE-3_5,1.19,50.5,118.54,107.8,110.9,,x,,l,,,,,2nd Heating,,
2-UV-PE-4_1,1.21,50,118.37,108.3,111.8,,x,,l,,,,,2nd Heating,,
2-UV-PE-4_2,1.28,50,118.49,108.1,113.4,,x,,l,,,,,2nd Heating,,
2-UV-PE-4_3,1.45,50,118.25,108,114.7,,x,,l,,,,,2nd Heating,,
2-UV-PE-4_4,1.16,50,118.53,107.9,114.7,,x,,l,,,,,2nd Heating,,
2-UV-PE-4_5,1.17,50,117.9,107.8,115.5,,x,,l,,,,,2nd Heating,,
3-UV-PE-1_1,1.48,58,118.97,110,127.7,,x,,l,,x,,,1st Heating,,
3-UV-PE-1_2,1.27,58,116.96,109.7,123.7,,x,,l,,x,,,1st Heating,,
3-UV-PE-1_3,1.37,58.5,118.9,110.2,123.7,,x,,l,,x,,,1st Heating,,
3-UV-PE-1_4,1.41,58,118.532,110.2,125,,x,,l,,x,,,1st Heating,,
3-UV-PE-1_5,1.47,58.2,119.19,110.2,124.5,,x,,l,,x,,,1st Heating,,
