Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tm in °C,∆Hm in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tm,2 in °C",Peak Signal Characterisation_Quasibimodal
2-EBT-PET-3_4,1.19,214.6,254.3,241.7,38.6,,,x,s,,,,,1st Heating,,
2-EBT-PET-3_5,1.23,214.77,254.3,241.4,36.81,,,x,s,,,,,1st Heating,,
2-EBT-PET-4_1,1.33,214.59,252.38,241.8,35.99,,,x,s,,,,,1st Heating,,
2-EBT-PET-4_2,1.45,214.5,254,241.6,37.5,,,x,s,,,,,1st Heating,,
2-EBT-PET-4_3,1.44,214.5,253.4,241.9,38.28,,,x,s,,,,,1st Heating,,
2-EBT-PET-4_4,1.49,214.5,253.86,241.4,38.03,,,x,s,,,,,1st Heating,,
2-EBT-PET-4_5,1.44,214.5,252.53,241.2,38.28,,,x,s,,,,,1st Heating,,
2-EBT-PET-1_1,1.5,205.5,256.33,,36.42,,,,s,,,,,2nd Heating,241.8,x
2-EBT-PET-1_2,1.44,206,255.9,,35.89,,,,s,,,,,2nd Heating,242.1,x
2-EBT-PET-1_3,1.49,206.14,254.51,,37.06,,,,s,,,,,2nd Heating,241.8,x
2-EBT-PET-1_4,1.24,206.27,253.96,,35.07,,,,s,,,,,2nd Heating,242.2,x
2-EBT-PET-1_5,1.3,206.19,254.51,,36.68,,,,s,,,,,2nd Heating,242.4,x
2-EBT-PET-2_1,1.46,206.81,256.3,232.4,38.49,1<2,,,s,,,,,2nd Heating,242.3,
2-EBT-PET-2_2,1.45,207.5,252.7,233.1,35.55,1<2,,,s,,,,,2nd Heating,241.5,
2-EBT-PET-2_3,1.27,203.8,252.6,232.7,35.93,1<2,,,s,,,,,2nd Heating,241.1,
2-EBT-PET-2_4,1.38,206.57,256.07,232.4,36.16,1<2,,,s,,,,,2nd Heating,242.8,
2-EBT-PET-2_5,1.35,207.1,255.1,233,35.58,1<2,,,s,,,,,2nd Heating,241.7,
2-EBT-PET-3_1,1.43,206.04,252.92,232.1,36.8,1<2,,,s,,,,,2nd Heating,241.9,
2-EBT-PET-3_2,1.46,207.25,253.6,233,34.98,1<2,,,s,,,,,2nd Heating,241.3,
2-EBT-PET-3_3,1.51,208.88,254,231.9,34.84,1<2,,,s,,,,,2nd Heating,241,
2-EBT-PET-3_4,1.19,207.65,254,230.9,35.48,1<2,,,s,,,,,2nd Heating,241.4,
2-EBT-PET-3_5,1.23,207.93,253.98,231.7,33.78,1<2,,,s,,,,,2nd Heating,242.3,
2-EBT-PET-4_1,1.33,204.8,253.9,232.5,34.58,1<2,,,s,,,,,2nd Heating,242.1,
2-EBT-PET-4_2,1.45,205.79,254.94,,35.26,,,,s,,,,,2nd Heating,241.8,x
2-EBT-PET-4_3,1.44,206.8,255.31,231.7,35.33,1<2,,,s,,,,,2nd Heating,242,
2-EBT-PET-4_4,1.49,206.7,254.29,,36.77,,,,s,,,,,2nd Heating,241.5,x
2-EBT-PET-4_5,1.44,206.12,253.39,,36.57,,,,s,,,,,2nd Heating,241.9,x
3-EBT-PET-1_1,1.41,213.73,255.6,240.1,38.83,,,x,s,,,,,1st Heating,,
3-EBT-PET-1_2,1.16,213.6,252.08,240.2,38.33,,,x,s,,,,,1st Heating,,
3-EBT-PET-1_3,1.47,213.86,253.99,239.8,38.99,,,x,s,,,,,1st Heating,,
3-EBT-PET-1_4,1.3,213.185,250.7,240,37.82,,,x,s,,,,,1st Heating,,
3-EBT-PET-1_5,1.21,212.5,254.59,239.5,37.35,,,x,s,,,,,1st Heating,,
3-EBT-PET-2_1,1.38,212.7,254.7,240.1,38.06,,,x,s,,,,,1st Heating,,
3-EBT-PET-2_2,1.26,212.7,252.75,240.2,37.56,,,x,s,,,,,1st Heating,,
3-EBT-PET-2_3,1.41,212.68,254.38,240.9,37.95,,,x,s,,,,,1st Heating,,
3-EBT-PET-2_4,1.45,212.76,254.58,240.6,38.47,,,x,s,,,,,1st Heating,,
3-EBT-PET-2_5,1.34,212.7,254.7,240.1,38.31,,,x,s,,,,,1st Heating,,
3-EBT-PET-3_1,1.25,214.78,253.01,240.5,37.73,,,x,s,,,,,1st Heating,,
3-EBT-PET-3_2,1.5,213.6,253.2,240,37.52,,,x,s,,,,,1st Heating,,
3-EBT-PET-3_3,1.49,214.02,252.89,240.7,37.22,,,x,s,,,,,1st Heating,,
3-EBT-PET-3_4,1.26,213.99,252.88,241.5,35.63,,,x,s,,,,,1st Heating,,
3-EBT-PET-3_5,1.23,213.6,253.26,239.2,41.03,,,x,s,,,,,1st Heating,,
3-EBT-PET-4_1,1.18,211.1,253.4,240.3,37.17,,,x,s,,,,,1st Heating,,
3-EBT-PET-4_2,1.27,210.1,253.03,239.4,38.96,,,x,s,,,,,1st Heating,,
3-EBT-PET-4_3,1.3,207.6,254.5,240.1,39.44,,,x,s,,,,,1st Heating,,
3-EBT-PET-4_4,1.21,209.1,254.46,239.9,39.22,,,x,s,,,,,1st Heating,,
3-EBT-PET-4_5,1.15,209.14,254.32,239.6,39.75,,,x,s,,,,,1st Heating,,
3-EBT-PET-1_1,1.41,203.42,254.05,240.2,36.89,,,x,s,,,,,2nd Heating,,
3-EBT-PET-1_2,1.16,203.3,255.886,239.5,37.93,,,x,s,,,,,2nd Heating,,
3-EBT-PET-1_                                               ,1.47,203.279,250.93,241.3,37.43,,,x,s,,,,,2nd Heating,,
3-EBT-PET-1_4,1.3,206.43,252.99,239.7,37.4,,,x,s,,,,,2nd Heating,,
3-EBT-PET-1_5,1.21,205.65,255.43,241.2,36.56,,,x,s,,,,,2nd Heating,,
3-EBT-PET-2_1,1.38,204.58,256.23,240.7,36.92,,,x,s,,,,,2nd Heating,,
3-EBT-PET-2_2,1.26,204.42,255.39,240.5,35.36,,,x,s,,,,,2nd Heating,,
3-EBT-PET-2_3,1.41,204.8,251.69,241.2,37.2,,,x,s,,,,,2nd Heating,,
3-EBT-PET-2_4,1.45,203.83,254.45,241.4,37.01,,,x,s,,,,,2nd Heating,,
3-EBT-PET-2_5,1.34,205.91,252.51,241,36.71,,,x,s,,,,,2nd Heating,,
3-EBT-PET-3_1,1.25,204.73,251.67,239.9,35.14,,,x,s,,,,,2nd Heating,,
3-EBT-PET-3_2,1.5,206.78,253.53,241.2,35.51,,,,s,,,,,2nd Heating,,x
3-EBT-PET-3_3,1.49,205.21,250.62,240.6,37.09,,,x,s,,,,,2nd Heating,,
3-EBT-PET-3_4,1.26,205.41,251.9,240.8,34.31,,,,s,,,,,2nd Heating,,x
3-EBT-PET-3_5,1.23,206,252,239.9,40.51,,,x,s,,,,,2nd Heating,,
3-EBT-PET-4_1,1.18,205.46,254.29,239.9,36.62,,,x,s,,,,,2nd Heating,,
3-EBT-PET-4_2,1.27,201.99,251.99,239.9,36.95,,,x,s,,,,,2nd Heating,,
3-EBT-PET-4_3,1.3,202.37,251.33,240,36.87,,,x,s,,,,,2nd Heating,,
3-EBT-PET-4_4,1.21,198.86,256.1,239.3,36.3,,,x,s,,,,,2nd Heating,,
3-EBT-PET-4_5,1.15,201.98,250.86,240.2,37.02,,,x,s,,,,,2nd Heating,,
