Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
3-UV-PE-4_3,UV-PE-58,1.19,117.9,2nd Heating,PE,50.0,118.59,107.6,108,9.71203,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_4,UV-PE-59,1.46,121.3,2nd Heating,PE,50.0,122.52,107.9,108,8.67029,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_5,UV-PE-60,1.4,121.1,2nd Heating,PE,50.0,120.0,107.6,108,8.92145,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
1-EBT-PE-1_1,eb-PE-1,1.18,86.79,2nd Heating,PE,58.01,114.42,98.2,98,7.64812,bimodal,left,undefined,First EBT
1-EBT-PE-1_2,eb-PE-2,1.25,84.7,2nd Heating,PE,58.01,116.1,97.3,97,7.23986,bimodal,left,undefined,First EBT
1-EBT-PE-1_3,eb-PE-3,1.07,86.94,2nd Heating,PE,58.01,115.24,98.0,98,8.06667,bimodal,left,undefined,First EBT
1-EBT-PE-1_4,eb-PE-4,1.16,86.21,2nd Heating,PE,58.01,114.61,97.2,97,7.68148,bimodal,left,undefined,First EBT
1-EBT-PE-1_5,eb-PE-5,1.16,85.46,2nd Heating,PE,58.01,118.28,97.4,97,7.58949,bimodal,left,undefined,First EBT
1-EBT-PE-2_1,eb-PE-6,1.44,86.94,2nd Heating,PE,58.0,112.04,97.7,98,6.45205,bimodal,left,undefined,First EBT
1-EBT-PE-2_2,eb-PE-7,1.05,89.58,2nd Heating,PE,58.5,113.0,98.5,98,8.19676,bimodal,left,undefined,First EBT
1-EBT-PE-2_3,eb-PE-8,1.15,86.32,2nd Heating,PE,59.35,112.04,97.5,98,7.6159,bimodal,left,undefined,First EBT
1-EBT-PE-2_4,eb-PE-9,1.27,85.76,2nd Heating,PE,58.83,113.0,97.7,98,7.14124,bimodal,left,undefined,First EBT
1-EBT-PE-2_5,eb-PE-10,1.16,86.55,2nd Heating,PE,58.43,112.81,98.4,98,7.59453,bimodal,left,undefined,First EBT
